ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
9991376737;Ancient Mystery: Bridge of Horizon;David Johnson;1955;Hachette;http://images.example.com/books/9991376737.jpg;http://images.example.com/books/9991376737_m.jpg;http://images.example.com/books/9991376737_l.jpg
5183873932;Endless Dawn;Emma Anderson;0;Cambridge Press;http://images.example.com/books/5183873932.jpg;http://images.example.com/books/5183873932_m.jpg;http://images.example.com/books/5183873932_l.jpg
8733830437;Silent Horizon;Michael Thompson;2010;Bloomsbury;http://images.example.com/books/8733830437.jpg;http://images.example.com/books/8733830437_m.jpg;http://images.example.com/books/8733830437_l.jpg
2755293624;Hidden Sun;Anna Smith;1954;Vintage Books;http://images.example.com/books/2755293624.jpg;http://images.example.com/books/2755293624_m.jpg;http://images.example.com/books/2755293624_l.jpg
5552299639;Silver River;Thomas Rodriguez;1975;Vintage Books;http://images.example.com/books/5552299639.jpg;http://images.example.com/books/5552299639_m.jpg;http://images.example.com/books/5552299639_l.jpg
6493279925;Endless Horizon: Star of Song;Charles Brown;1950;Cambridge Press;http://images.example.com/books/6493279925.jpg;http://images.example.com/books/6493279925_m.jpg;http://images.example.com/books/6493279925_l.jpg
5178061783;Endless Wind;Claire Moore;1951;Bloomsbury;http://images.example.com/books/5178061783.jpg;http://images.example.com/books/5178061783_m.jpg;http://images.example.com/books/5178061783_l.jpg
2575531657;Digital Dream: Empire of Fire;William Jackson;1967;Bloomsbury;http://images.example.com/books/2575531657.jpg;http://images.example.com/books/2575531657_m.jpg;http://images.example.com/books/2575531657_l.jpg
5473065332;Digital Wind;David Martinez;1988;Vintage Books;http://images.example.com/books/5473065332.jpg;http://images.example.com/books/5473065332_m.jpg;http://images.example.com/books/5473065332_l.jpg
4895964326;Broken Dawn: Bridge of Dawn;Emily Martinez;2016;Vintage Books;http://images.example.com/books/4895964326.jpg;http://images.example.com/books/4895964326_m.jpg;http://images.example.com/books/4895964326_l.jpg
4733197903;Endless Kingdom;Maria Davis;1991;Vintage Books;http://images.example.com/books/4733197903.jpg;http://images.example.com/books/4733197903_m.jpg;http://images.example.com/books/4733197903_l.jpg
4755812845;Secret Dusk: Chronicle of Horizon;;1982;Hachette;http://images.example.com/books/4755812845.jpg;http://images.example.com/books/4755812845_m.jpg;http://images.example.com/books/4755812845_l.jpg
5371524054;Last City;Emily Anderson;2011;Cambridge Press;http://images.example.com/books/5371524054.jpg;http://images.example.com/books/5371524054_m.jpg;http://images.example.com/books/5371524054_l.jpg
7303526948;Dark World;David Brown;1973;Macmillan;http://images.example.com/books/7303526948.jpg;http://images.example.com/books/7303526948_m.jpg;http://images.example.com/books/7303526948_l.jpg
7350349453;Sacred Ocean;Charles Garcia;2000;Vintage Books;http://images.example.com/books/7350349453.jpg;http://images.example.com/books/7350349453_m.jpg;http://images.example.com/books/7350349453_l.jpg
3437947667;Digital Storm: City of Dusk;Emily White;1969;Penguin Books;http://images.example.com/books/3437947667.jpg;http://images.example.com/books/3437947667_m.jpg;http://images.example.com/books/3437947667_l.jpg
2281619310;Silver City;William Brown;1952;Penguin Books;http://images.example.com/books/2281619310.jpg;http://images.example.com/books/2281619310_m.jpg;http://images.example.com/books/2281619310_l.jpg
6120910131;Forgotten Forest;Sophie Johnson;1962;Cambridge Press;http://images.example.com/books/6120910131.jpg;http://images.example.com/books/6120910131_m.jpg;http://images.example.com/books/6120910131_l.jpg
3571587853;The Great Forest;John Anderson;1964;Cambridge Press;http://images.example.com/books/3571587853.jpg;http://images.example.com/books/3571587853_m.jpg;http://images.example.com/books/3571587853_l.jpg
5557041016;Dark Path;David Taylor;1999;Hachette;http://images.example.com/books/5557041016.jpg;http://images.example.com/books/5557041016_m.jpg;http://images.example.com/books/5557041016_l.jpg
9089161041;Broken Mountain;Maria Davis;1960;Vintage Books;http://images.example.com/books/9089161041.jpg;http://images.example.com/books/9089161041_m.jpg;http://images.example.com/books/9089161041_l.jpg
1021557482;Hidden Forest;Claire Brown;1991;Vintage Books;http://images.example.com/books/1021557482.jpg;http://images.example.com/books/1021557482_m.jpg;http://images.example.com/books/1021557482_l.jpg
8859019697;Brave Dream: World of Song;Anna Smith;1972;Penguin Books;http://images.example.com/books/8859019697.jpg;http://images.example.com/books/8859019697_m.jpg;http://images.example.com/books/8859019697_l.jpg
5525282720;Endless Empire;Maria Davis;2000;Oxford Press;http://images.example.com/books/5525282720.jpg;http://images.example.com/books/5525282720_m.jpg;http://images.example.com/books/5525282720_l.jpg
6020732665;Last Mountain: Journey of Mystery;Olivia Jackson;1978;Penguin Books;http://images.example.com/books/6020732665.jpg;http://images.example.com/books/6020732665_m.jpg;http://images.example.com/books/6020732665_l.jpg
2437142916;Silent Song;James Jones;1976;Oxford Press;http://images.example.com/books/2437142916.jpg;http://images.example.com/books/2437142916_m.jpg;http://images.example.com/books/2437142916_l.jpg
7147300163;Lost Mystery;Laura Smith;1987;Simon & Schuster;http://images.example.com/books/7147300163.jpg;http://images.example.com/books/7147300163_m.jpg;http://images.example.com/books/7147300163_l.jpg
9890591807;Secret Horizon;Maria Jones;1978;Simon & Schuster;http://images.example.com/books/9890591807.jpg;http://images.example.com/books/9890591807_m.jpg;http://images.example.com/books/9890591807_l.jpg
1939823801;Digital World;William Jones;1969;Scholastic;http://images.example.com/books/1939823801.jpg;http://images.example.com/books/1939823801_m.jpg;http://images.example.com/books/1939823801_l.jpg
9979694059;Brave City;Daniel Moore;1961;Bloomsbury;http://images.example.com/books/9979694059.jpg;http://images.example.com/books/9979694059_m.jpg;http://images.example.com/books/9979694059_l.jpg
4703543167;Modern Dawn;Maria Anderson;2017;Hachette;http://images.example.com/books/4703543167.jpg;http://images.example.com/books/4703543167_m.jpg;http://images.example.com/books/4703543167_l.jpg
8408792234;Brave Mystery: Dusk of Legacy;George Moore;1989;Vintage Books;http://images.example.com/books/8408792234.jpg;http://images.example.com/books/8408792234_m.jpg;http://images.example.com/books/8408792234_l.jpg
8540610136;The Great Fire;Claire Brown;2003;Oxford Press;http://images.example.com/books/8540610136.jpg;http://images.example.com/books/8540610136_m.jpg;http://images.example.com/books/8540610136_l.jpg
8337603120;Digital Journey: Wind of Legacy;John Martinez;2001;Vintage Books;http://images.example.com/books/8337603120.jpg;http://images.example.com/books/8337603120_m.jpg;http://images.example.com/books/8337603120_l.jpg
1198943889;Wild Mountain;William Garcia;1951;Oxford Press;http://images.example.com/books/1198943889.jpg;http://images.example.com/books/1198943889_m.jpg;http://images.example.com/books/1198943889_l.jpg
5164108331;Ancient Shadow;George Miller;2001;Macmillan;http://images.example.com/books/5164108331.jpg;http://images.example.com/books/5164108331_m.jpg;http://images.example.com/books/5164108331_l.jpg
2455098767;The Great Moon: Shadow of Kingdom;Alice Lee;2020;Penguin Books;http://images.example.com/books/2455098767.jpg;http://images.example.com/books/2455098767_m.jpg;http://images.example.com/books/2455098767_l.jpg
9976008720;Secret Kingdom: Song of Journey;Charles Miller;1950;Oxford Press;http://images.example.com/books/9976008720.jpg;http://images.example.com/books/9976008720_m.jpg;http://images.example.com/books/9976008720_l.jpg
8593025787;Digital Path;Charles Thomas;1979;Cambridge Press;http://images.example.com/books/8593025787.jpg;http://images.example.com/books/8593025787_m.jpg;http://images.example.com/books/8593025787_l.jpg
4756103861;The Great Fire: Sun of River;Charles Thompson;1987;Random House;http://images.example.com/books/4756103861.jpg;http://images.example.com/books/4756103861_m.jpg;http://images.example.com/books/4756103861_l.jpg
7667518063;The Great Journey: Dream of Mountain;Laura Martinez;1983;Crown Publishing;http://images.example.com/books/7667518063.jpg;http://images.example.com/books/7667518063_m.jpg;http://images.example.com/books/7667518063_l.jpg
3179686086;Modern Dream: Garden of Dawn;Michael Davis;2003;Vintage Books;http://images.example.com/books/3179686086.jpg;http://images.example.com/books/3179686086_m.jpg;http://images.example.com/books/3179686086_l.jpg
3143879504;Dark World: Wind of Journey;Sarah Williams;1981;Cambridge Press;http://images.example.com/books/3143879504.jpg;http://images.example.com/books/3143879504_m.jpg;http://images.example.com/books/3143879504_l.jpg
3441695173;Secret Forest;Claire Martin;1956;Bloomsbury;http://images.example.com/books/3441695173.jpg;http://images.example.com/books/3441695173_m.jpg;http://images.example.com/books/3441695173_l.jpg
4672563260;Digital Star;Emily Thompson;1951;Penguin Books;http://images.example.com/books/4672563260.jpg;http://images.example.com/books/4672563260_m.jpg;http://images.example.com/books/4672563260_l.jpg
3896678864;Secret Shadow;Sarah Williams;1961;Simon & Schuster;http://images.example.com/books/3896678864.jpg;http://images.example.com/books/3896678864_m.jpg;http://images.example.com/books/3896678864_l.jpg
6332154924;Last Path;Sophie Williams;1973;Penguin Books;http://images.example.com/books/6332154924.jpg;http://images.example.com/books/6332154924_m.jpg;http://images.example.com/books/6332154924_l.jpg
6088160737;Silver Empire: Moon of Sun;George Lee;1963;Vintage Books;http://images.example.com/books/6088160737.jpg;http://images.example.com/books/6088160737_m.jpg;http://images.example.com/books/6088160737_l.jpg
2788175751;Golden Dawn;William Moore;1953;Bloomsbury;http://images.example.com/books/2788175751.jpg;http://images.example.com/books/2788175751_m.jpg;http://images.example.com/books/2788175751_l.jpg
2103384891;Hidden Shadow: Tower of Mystery;Emily Rodriguez;1987;HarperCollins;http://images.example.com/books/2103384891.jpg;http://images.example.com/books/2103384891_m.jpg;http://images.example.com/books/2103384891_l.jpg
3326927524;Last Dusk: Tower of Mystery;Anna Davis;1961;Vintage Books;http://images.example.com/books/3326927524.jpg;http://images.example.com/books/3326927524_m.jpg;http://images.example.com/books/3326927524_l.jpg
8532138949;Golden Moon;Claire Johnson;2003;Scholastic;http://images.example.com/books/8532138949.jpg;http://images.example.com/books/8532138949_m.jpg;http://images.example.com/books/8532138949_l.jpg
8918670722;Silent World;William Davis;1960;Simon & Schuster;http://images.example.com/books/8918670722.jpg;http://images.example.com/books/8918670722_m.jpg;http://images.example.com/books/8918670722_l.jpg
3023862147;Dark Kingdom;Daniel Jones;2005;Penguin Books;http://images.example.com/books/3023862147.jpg;http://images.example.com/books/3023862147_m.jpg;http://images.example.com/books/3023862147_l.jpg
1855180733;Endless Bridge;Olivia Anderson;2011;Scholastic;http://images.example.com/books/1855180733.jpg;http://images.example.com/books/1855180733_m.jpg;http://images.example.com/books/1855180733_l.jpg
5159368761;Wild Dusk;John Rodriguez;1989;Penguin Books;http://images.example.com/books/5159368761.jpg;http://images.example.com/books/5159368761_m.jpg;http://images.example.com/books/5159368761_l.jpg
7991929608;Sacred Journey;Robert Williams;1952;HarperCollins;http://images.example.com/books/7991929608.jpg;http://images.example.com/books/7991929608_m.jpg;http://images.example.com/books/7991929608_l.jpg
3122395882;Last River;David Taylor;2008;Scholastic;http://images.example.com/books/3122395882.jpg;http://images.example.com/books/3122395882_m.jpg;http://images.example.com/books/3122395882_l.jpg
6876315480;Forgotten Dawn;Daniel Taylor;2011;Cambridge Press;http://images.example.com/books/6876315480.jpg;http://images.example.com/books/6876315480_m.jpg;http://images.example.com/books/6876315480_l.jpg
1360451387;Ancient Empire: Star of City;Maria Thompson;1961;Scholastic;http://images.example.com/books/1360451387.jpg;http://images.example.com/books/1360451387_m.jpg;http://images.example.com/books/1360451387_l.jpg
3216022809;Endless Mystery;Charles Miller;1963;Hachette;http://images.example.com/books/3216022809.jpg;http://images.example.com/books/3216022809_m.jpg;http://images.example.com/books/3216022809_l.jpg
3033624402;Eternal Journey: Empire of Song;Alice Harris;1988;Random House;http://images.example.com/books/3033624402.jpg;http://images.example.com/books/3033624402_m.jpg;http://images.example.com/books/3033624402_l.jpg
3967842739;First Moon: Horizon of Mountain;Sophie Thomas;1952;Hachette;http://images.example.com/books/3967842739.jpg;http://images.example.com/books/3967842739_m.jpg;http://images.example.com/books/3967842739_l.jpg
2299877547;Broken Dream;Charles Brown;1974;HarperCollins;http://images.example.com/books/2299877547.jpg;http://images.example.com/books/2299877547_m.jpg;http://images.example.com/books/2299877547_l.jpg
1866213449;Broken Path;Michael Martinez;1983;Scholastic;http://images.example.com/books/1866213449.jpg;http://images.example.com/books/1866213449_m.jpg;http://images.example.com/books/1866213449_l.jpg
