User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Age,Location,Theme,Description,Relevance,Type
bda5a4d1,1116678776,7,Hidden Shadow: Dawn of World,Laura Martinez,1981.0,Scholastic,66,"Lefebvre, None",,,,
3032bae5,2337843204,6,Last Song: Mountain of Wind,David Moore,1999.0,Macmillan,41,"TorresVille, None",,,,
6e68e379,6020732665,8,Last Mountain: Journey of Mystery,Olivia Jackson,1978.0,Penguin Books,21,"Sainte Maurice, None",,,,
f9f3c9c5,5346804001,9,Brave Storm,George Williams,2005.0,Cambridge Press,63,"Bouvier-sur-Mer, None",,,,
74e82020,2581487122,10,The Great Tower,Anna Lee,2018.0,Hachette,38,"Rolland, None",,,,
710470dc,8532138949,7,Golden Moon,Claire Johnson,2003.0,Scholastic,52,"Sainte Gérard-sur-Mer, None",,,,
c0576ebc,2474353763,6,Eternal Dawn,George Lee,1961.0,Vintage Books,46,"Alexandre, None",,,,
f9bcb1dd,7619950719,8,Silent Mystery,Laura Taylor,1991.0,Scholastic,79,"Perez, None",,,,
57f36835,2281619310,9,Silver City,William Brown,1952.0,Penguin Books,48,"Teixeira, None",,,,
3d31f94d,2859743210,8,Digital Legacy,Sarah Brown,2015.0,HarperCollins,61,"Guérin-sur-Reynaud, None",,,,
20bb7000,9595232668,10,Brave Shadow,Emily Smith,1973.0,Oxford Press,43,"Huetdan, None",,,,
bfe6220b,4929329618,7,Dark Chronicle,John Williams,1974.0,HarperCollins,43,"Pages, None",,,,
a0eff95a,3701851923,7,Lost Song,George Martinez,2002.0,Scholastic,37,"HuetBourg, None",,,,
eb7e1fae,6601483708,7,The Great Moon,Michael Taylor,1960.0,Random House,22,"Barondan, None",,,,
259b69ff,2577170343,3,The Great Dusk,Charles Martinez,2003.0,Vintage Books,82,"Duhamel-sur-Leclerc, None",,,,
4b343c2a,5237671876,9,Secret Legacy: Dream of Sun,Maria Smith,1960.0,Crown Publishing,35,"Gautierdan, None",,,,
4b343c2a,7857819655,8,Modern Dawn,Anna Martin,1978.0,Hachette,35,"Gautierdan, None",,,,
123350ea,5441914390,7,Hidden Ocean,George Brown,2009.0,Oxford Press,43,"Chrétien-les-Bains, None",,,,
3d7d57c9,9976008720,7,Secret Kingdom: Song of Journey,Charles Miller,1950.0,Oxford Press,29,"Caron-la-Forêt, None",,,,
935368b2,2297641198,8,Silent City,Claire Taylor,2009.0,Vintage Books,51,"Bernier, None",,,,
bf1f4558,5071175285,6,Broken Legacy,William Harris,2006.0,Hachette,75,"Alexandre-la-Forêt, None",,,,
9fe0e8eb,1052907176,7,Ancient Path: Ocean of Legacy,Anna Martin,2009.0,Macmillan,25,"Didierdan, None",,,,
32488c3c,3074177037,7,Forgotten Dream,Emily Thomas,1985.0,Hachette,51,"Saint Josettedan, None",,,,
fca5d4d7,2856834827,9,Silver Dawn: Tower of Journey,Daniel Moore,1999.0,Simon & Schuster,29,"Saint Lucie, None",,,,
5e5c13ac,7303526948,9,Dark World,David Brown,1973.0,Macmillan,64,"Cohen-les-Bains, None",,,,
8ca4a4a1,9419021410,7,Dark Mountain,Daniel Rodriguez,2017.0,Hachette,16,"Sainte Xavier-les-Bains, None",,,,
77817488,8001112203,7,Golden Dream: World of Legacy,William Davis,2021.0,Macmillan,30,"RenaudVille, None",,,,
bc39588e,1360451387,10,Ancient Empire: Star of City,Maria Thompson,1961.0,Scholastic,60,"Sainte Laurence, None",,,,
ced92ffa,9595232668,8,Brave Shadow,Emily Smith,1973.0,Oxford Press,65,"Rocher-sur-Godard, None",,,,
f8b00b3b,3472129669,6,Hidden Mountain: Shadow of Shadow,Alice Jackson,1958.0,Bloomsbury,33,"Hernandez, None",,,,
0efce01a,5172266428,7,First Tale: Bridge of World,Daniel Martin,,Random House,56,"Breton-sur-Texier, None",,,,
9f04c2a7,5563528775,7,Silver Song,Michael Rodriguez,1955.0,Vintage Books,24,"Gilles-les-Bains, None",,,,
26ca538b,9790971671,7,Forgotten Tale: Sun of Tower,James Davis,1978.0,Macmillan,83,"Rossi, None",,,,
ed78b016,6381794193,8,Endless Chronicle,William Harris,1953.0,Macmillan,20,"Barbe, None",,,,
30c46078,0439139597,8,Eternal Empire (Real ISBN),David Williams,1993.0,Cambridge Press,40,"Delaunay, None",,,,
92609be1,8772809829,7,First Forest,Alice Thomas,2002.0,HarperCollins,57,"Bertinnec, None",,,,
9f04c2a7,1914658319,8,Broken Chronicle,Auteur Inconnu,1983.0,Hachette,24,"Gilles-les-Bains, None",,,,
2118dfd0,6232678046,8,Digital Light,Alice White,1971.0,Hachette,15,"Charrierboeuf, None",,,,
26ca538b,6987396598,10,Brave Ocean: Bridge of Dawn,Charles Thomas,2015.0,Macmillan,83,"Rossi, None",,,,
9faf8447,4465999099,6,Brave Fire,Sophie Martin,2009.0,Oxford Press,31,"Dupont, None",,,,
31515d68,9741766011,8,Hidden Moon,Emily Anderson,2021.0,Crown Publishing,26,"Bousquetnec, None",,,,
015676d0,5634488466,10,Last Fire: Chronicle of Shadow,Thomas Anderson,1996.0,Hachette,53,"Vidal-sur-Mer, None",,,,
fc4b478f,6814349903,9,Secret Mystery: Mountain of Dusk,David Garcia,2003.0,Cambridge Press,56,"Delannoy, None",,,,
9526cc49,6598917973,7,Ancient Dream: Ocean of Ocean,Anna White,2010.0,Crown Publishing,52,"Saint MarineBourg, None",,,,
a618ca68,1709315918,4,Hidden Star: Dream of Dusk,Olivia Lee,2013.0,Crown Publishing,19,"Rousset, None",,,,
cc9a615d,3033883668,8,Digital Legacy,John Moore,1956.0,Crown Publishing,34,"Laine-sur-Fleury, None",,,,
123350ea,9627024167,9,Endless Star: Bridge of City,George Jones,1952.0,Scholastic,43,"Chrétien-les-Bains, None",,,,
a5d61556,6855035803,7,Modern Ocean: Garden of Dusk,Thomas Harris,1959.0,Scholastic,23,"Collet, None",,,,
b2a92e00,1963184514,8,Digital Kingdom,Emma Williams,1987.0,Cambridge Press,49,"Fernandez, None",,,,
d1a8c1c2,6855035803,8,Modern Ocean: Garden of Dusk,Thomas Harris,1959.0,Scholastic,29,"Lefort-sur-Mer, None",,,,
80bf7c67,6354259448,8,Lost Wind,Charles Brown,2017.0,Vintage Books,84,"Fernandez-sur-Besnard, None",,,,
f739e4e4,3351541706,4,Digital Wind,Anna Brown,1989.0,Penguin Books,19,"Saint Arnaudeboeuf, None",,,,
33f53bc7,9890591807,7,Secret Horizon,Maria Jones,1978.0,Simon & Schuster,31,"Pasquier-sur-Charles, None",,,,
bc39588e,3033624402,7,Eternal Journey: Empire of Song,Alice Harris,1988.0,Random House,60,"Sainte Laurence, None",,,,
87986496,6926419415,6,Wild Dusk,Laura Martinez,2021.0,Cambridge Press,45,"Bernier, None",,,,
650f766b,5404823080,6,Hidden Ocean: Chronicle of Tower,Sarah Anderson,2003.0,Crown Publishing,15,"Macenec, None",,,,
f12cee00,2890497741,8,Golden Path,Maria Moore,1956.0,Oxford Press,52,"Saint Matthieudan, None",,,,
eb7e1fae,6332154924,7,Last Path,Sophie Williams,1973.0,Penguin Books,22,"Barondan, None",,,,
32488c3c,3693529285,7,Last Star: Light of Shadow,Laura Williams,1984.0,Penguin Books,51,"Saint Josettedan, None",,,,
f8b00b3b,2778442914,7,Hidden Legacy,Sarah Thomas,2002.0,Scholastic,33,"Hernandez, None",,,,
0caf653d,6858394506,9,Golden Wind,Daniel Harris,1967.0,HarperCollins,71,"Saint Antoinette-la-Forêt, None",,,,
c21193e9,7054704639,6,Lost Dawn,James Brown,1963.0,Penguin Books,18,"Coste, None",,,,
33f53bc7,9790943877,6,Wild Star,Robert Moore,1977.0,Vintage Books,31,"Pasquier-sur-Charles, None",,,,
f0aa20e7,6120910131,8,Forgotten Forest,Sophie Johnson,1962.0,Cambridge Press,81,"Pinto-sur-Mer, None",,,,
4416fb63,6247033847,8,Silver Tale,Alice Harris,1979.0,Simon & Schuster,71,"Ramos-sur-Mer, None",,,,
935368b2,5441914390,7,Hidden Ocean,George Brown,2009.0,Oxford Press,51,"Bernier, None",,,,
2118dfd0,1342068483,7,Broken Tale,Laura Harris,1974.0,Oxford Press,15,"Charrierboeuf, None",,,,
c0576ebc,1992044978,8,Ancient Fire,James Williams,1965.0,Oxford Press,46,"Alexandre, None",,,,
87986496,5501472164,8,Eternal Dream,John Williams,1996.0,HarperCollins,45,"Bernier, None",,,,
32488c3c,6314724970,9,Silent Empire: Shadow of Dusk,Michael Williams,2018.0,Hachette,51,"Saint Josettedan, None",,,,
bc39588e,9613997196,8,First City,Olivia Williams,2000.0,Macmillan,60,"Sainte Laurence, None",,,,
59fd5976,2156549338,6,Ancient Chronicle: Dream of Mystery,Laura Thomas,1960.0,Hachette,25,"Saint Zacharie, None",,,,
ddf1eed4,1648998735,8,Dark City,Laura Rodriguez,1997.0,Macmillan,44,"Delmas-sur-Mer, None",,,,
c30a809c,1590367180,9,Silver Forest,Sarah Davis,2010.0,HarperCollins,35,"Auger, None",,,,
03b87354,5501472164,9,Eternal Dream,John Williams,1996.0,HarperCollins,38,"Legrand, None",,,,
4b343c2a,9478061263,5,Last Horizon: Dawn of Wind,John Moore,1975.0,Penguin Books,35,"Gautierdan, None",,,,
015676d0,5473065332,7,Digital Wind,David Martinez,1988.0,Vintage Books,53,"Vidal-sur-Mer, None",,,,
f41736a3,5850919410,6,Dark River,Olivia Davis,1971.0,Crown Publishing,21,"Pichon-sur-Mer, None",,,,
a64fe6b7,8761240291,9,Broken Dusk: Empire of Ocean,William Lee,1987.0,Cambridge Press,21,"Sainte Jérôme, None",,,,
b715c859,9790943877,8,Wild Star,Robert Moore,1977.0,Vintage Books,16,"Chauveau, None",,,,
63cb4066,5525282720,7,Endless Empire,Maria Davis,2000.0,Oxford Press,47,"Riou, None",,,,
4b49dfa1,8330458009,8,Modern Bridge,Robert Lee,1972.0,Simon & Schuster,38,"Sainte Matthieu, None",,,,
72ee60e7,4929329618,9,Dark Chronicle,John Williams,1974.0,HarperCollins,26,"Sainte Michelle, None",,,,
a64fe6b7,1617301437,5,Forgotten City,Emma Lee,1957.0,Cambridge Press,21,"Sainte Jérôme, None",,,,
edfffdfa,7127829847,6,Modern Mystery,Anna Taylor,1951.0,Oxford Press,34,"Saint Thérèse-les-Bains, None",,,,
6c66a236,6020732665,7,Last Mountain: Journey of Mystery,Olivia Jackson,1978.0,Penguin Books,22,"GarnierBourg, None",,,,
33f53bc7,125031318X,5,First Legacy (Real ISBN),James Taylor,1957.0,Cambridge Press,31,"Pasquier-sur-Charles, None",,,,
ea322fd0,4774604870,7,Secret Tale,David Jackson,1986.0,Penguin Books,52,"Pascal-sur-Morin, None",,,,
4b0a4d5d,9588267454,7,Hidden Shadow,Robert Moore,1960.0,HarperCollins,34,"Maillotdan, None",,,,
3d7d57c9,2156549338,7,Ancient Chronicle: Dream of Mystery,Laura Thomas,1960.0,Hachette,29,"Caron-la-Forêt, None",,,,
8ca4a4a1,4665645475,7,Golden Bridge,Michael Davis,2001.0,HarperCollins,16,"Sainte Xavier-les-Bains, None",,,,
73bc7d27,8747036565,7,Secret Light,Michael Jackson,2015.0,Hachette,82,"Breton, None",,,,
a9459d6c,3570293520,8,Brave River: Horizon of Storm,Michael Martin,2019.0,Random House,68,"Dufour, None",,,,
cfa5201f,2455098767,9,The Great Moon: Shadow of Kingdom,Alice Lee,2020.0,Penguin Books,20,"Robin, None",,,,
17a289ad,5563528775,7,Silver Song,Michael Rodriguez,1955.0,Vintage Books,61,"Fernandes, None",,,,
9bc03366,5164108331,6,Ancient Shadow,George Miller,2001.0,Macmillan,46,"Guérin-sur-Hamon, None",,,,
31465cfa,0439136350,7,Dark Garden (Real ISBN),Michael Jones,1996.0,Random House,40,"Lemaire, None",,,,
9909e0e4,9696625065,9,Eternal Dream,Michael Thompson,1974.0,Cambridge Press,71,"Bonnetboeuf, None",,,,
9c2f8483,5873634072,9,Golden Mountain: Shadow of Journey,Anna Smith,1950.0,Oxford Press,59,"Teixeira, None",,,,
650f766b,5563528775,6,Silver Song,Michael Rodriguez,1955.0,Vintage Books,15,"Macenec, None",,,,
dd2097ac,8864657875,8,Golden Garden,Emily Harris,1996.0,Scholastic,82,"Fouquet-sur-Rivière, None",,,,
2975b59c,9696625065,7,Eternal Dream,Michael Thompson,1974.0,Cambridge Press,23,"Delorme, None",,,,
34ed34a6,3571587853,6,The Great Forest,John Anderson,1964.0,Cambridge Press,26,"Moreno, None",,,,
87986496,1501711697,10,Hidden Dream,James Smith,1996.0,Simon & Schuster,45,"Bernier, None",,,,
e9fdcae6,4334645812,10,Golden Mountain,John Jones,1991.0,Oxford Press,52,"Saint Manon, None",,,,
75832de7,4520645014,8,Lost Horizon,Thomas Lee,2021.0,Hachette,23,"Carpentier-sur-Chauvet, None",,,,
c21193e9,8733830437,10,Silent Horizon,Michael Thompson,2010.0,Bloomsbury,18,"Coste, None",,,,
31465cfa,4148616165,9,Forgotten Tower,Laura Moore,1962.0,Hachette,40,"Lemaire, None",,,,
dd2097ac,4593002734,9,Wild Ocean: Kingdom of Moon,John Smith,1978.0,Random House,82,"Fouquet-sur-Rivière, None",,,,
31515d68,8099241630,7,Silent Sun,Daniel Davis,1964.0,Vintage Books,26,"Bousquetnec, None",,,,
21f9a4c4,1052907176,7,Ancient Path: Ocean of Legacy,Anna Martin,2009.0,Macmillan,36,"Aubry, None",,,,
f9f3c9c5,5437085760,8,Digital Fire: Bridge of Tower,Alice Anderson,1999.0,Vintage Books,63,"Bouvier-sur-Mer, None",,,,
6768617e,3523978147,9,Last Fire,Laura Williams,2008.0,Crown Publishing,76,"Jolynec, None",,,,
0efce01a,6247033847,8,Silver Tale,Alice Harris,1979.0,Simon & Schuster,56,"Breton-sur-Texier, None",,,,
7d98ae39,8174053366,7,Secret Ocean,Olivia White,2023.0,Scholastic,61,"Didier-sur-Peltier, None",,,,
41c1fdca,8118898855,7,Brave Light: Light of Garden,Charles Martin,1999.0,Scholastic,49,"Barthelemy, None",,,,
935368b2,7383994645,8,Forgotten Kingdom,Robert Brown,2014.0,Cambridge Press,51,"Bernier, None",,,,
4b49dfa1,4855541949,8,Modern Tale,Daniel Anderson,1998.0,Penguin Books,38,"Sainte Matthieu, None",,,,
e8ead281,9991376737,8,Ancient Mystery: Bridge of Horizon,David Johnson,1955.0,Hachette,75,"Hamelnec, None",,,,
7554a862,1846291686,9,Dark Mystery,Michael Martin,1951.0,Crown Publishing,38,"Hamon-sur-Boulanger, None",,,,
d2a9d100,0451524934,8,Lost Horizon (Real ISBN),Sophie Garcia,1951.0,Crown Publishing,50,"Sainte Guy, None",,,,
5b899d59,6355896221,9,Dark Chronicle: Bridge of Song,Charles Taylor,2006.0,Cambridge Press,46,"Delannoy, None",,,,
650f766b,1899482137,3,Brave Chronicle,Thomas Johnson,1959.0,Crown Publishing,15,"Macenec, None",,,,
ed78b016,1005785260,10,Modern Kingdom: Empire of Horizon,Alice Davis,1990.0,Macmillan,20,"Barbe, None",,,,
95aa29da,5437085760,6,Digital Fire: Bridge of Tower,Alice Anderson,1999.0,Vintage Books,76,"Sainte Gilbert, None",,,,
a64fe6b7,1008091786,6,Lost Horizon,Claire Brown,2021.0,Random House,21,"Sainte Jérôme, None",,,,
41c1fdca,9699048148,6,Wild Tower,George Taylor,1986.0,Bloomsbury,49,"Barthelemy, None",,,,
44646281,4855541949,8,Modern Tale,Daniel Anderson,1998.0,Penguin Books,36,"Saint Alain, None",,,,
3a4378d6,8196213218,10,Modern World: Garden of Empire,Alice Jones,1996.0,Penguin Books,54,"Blanchard, None",,,,
34ed34a6,3404861505,7,The Great Light,Laura Jackson,,Oxford Press,26,"Moreno, None",,,,
f01cc4eb,4440793987,8,Endless Shadow,Sophie Garcia,1972.0,Simon & Schuster,85,"Lévêque-les-Bains, None",,,,
c74e411e,1107749869,8,Lost Fire,Emily Lee,1962.0,Vintage Books,53,"Lefebvre, None",,,,
f9bcb1dd,2951907129,10,Eternal Journey,Maria Brown,1957.0,Bloomsbury,79,"Perez, None",,,,
4666818e,9741766011,10,Hidden Moon,Emily Anderson,2021.0,Crown Publishing,82,"Saint Marcelle, None",,,,
cc9a615d,5552299639,5,Silver River,Thomas Rodriguez,1975.0,Vintage Books,34,"Laine-sur-Fleury, None",,,,
3032bae5,4855541949,8,Modern Tale,Daniel Anderson,1998.0,Penguin Books,41,"TorresVille, None",,,,
a5d61556,5237671876,8,Secret Legacy: Dream of Sun,Maria Smith,1960.0,Crown Publishing,23,"Collet, None",,,,
c7da3077,4672563260,10,Digital Star,Emily Thompson,1951.0,Penguin Books,65,"Sauvagenec, None",,,,
75832de7,7240150760,10,Silent Mountain,James Garcia,1990.0,Oxford Press,23,"Carpentier-sur-Chauvet, None",,,,
8ca4a4a1,8532138949,5,Golden Moon,Claire Johnson,2003.0,Scholastic,16,"Sainte Xavier-les-Bains, None",,,,
2975b59c,4896467394,8,Dark Mountain: Chronicle of Dusk,Claire Lee,1967.0,Simon & Schuster,23,"Delorme, None",,,,
72e209a8,8023296690,7,Lost Mountain: Garden of Journey,Sophie Brown,,Oxford Press,75,"Delattre, None",,,,
4b343c2a,5264997375,5,Sacred Chronicle,Alice Garcia,2008.0,Hachette,35,"Gautierdan, None",,,,
71235ffe,9419021410,8,Dark Mountain,Daniel Rodriguez,2017.0,Hachette,35,"Baron, None",,,,
fc4b478f,6314724970,10,Silent Empire: Shadow of Dusk,Michael Williams,2018.0,Hachette,56,"Delannoy, None",,,,
4f5dfcc7,8859019697,5,Brave Dream: World of Song,Anna Smith,1972.0,Penguin Books,20,"Carlier, None",,,,
50655f8b,8593025787,7,Digital Path,Charles Thomas,1979.0,Cambridge Press,63,"Raynaud-sur-Jean, None",,,,
59fd5976,8063920549,6,Forgotten Chronicle,John Lee,1960.0,Bloomsbury,25,"Saint Zacharie, None",,,,
a91408a7,1594884797,8,Golden Storm: Forest of City,George Thomas,2009.0,Bloomsbury,48,"Delaunay, None",,,,
8ca4a4a1,9849657402,8,Eternal Legacy,Thomas Lee,2021.0,Random House,16,"Sainte Xavier-les-Bains, None",,,,
ca514c7c,4530839079,8,Brave Legacy,Olivia Thompson,1964.0,Crown Publishing,39,"Jacquesboeuf, None",,,,
3987cb78,9613997196,7,First City,Olivia Williams,2000.0,Macmillan,28,"Lemonniernec, None",,,,
d2a9d100,8337603120,8,Digital Journey: Wind of Legacy,John Martinez,2001.0,Vintage Books,50,"Sainte Guy, None",,,,
2a49548b,9419021410,9,Dark Mountain,Daniel Rodriguez,2017.0,Hachette,31,"Saint Aurélie, None",,,,
2970e305,6964477945,7,Wild Dawn,Michael Harris,2019.0,Scholastic,38,"CostaVille, None",,,,
a64fe6b7,1005785260,6,Modern Kingdom: Empire of Horizon,Alice Davis,1990.0,Macmillan,21,"Sainte Jérôme, None",,,,
2b77e6ce,7688280675,7,First Sun,Olivia Williams,1956.0,Scholastic,59,"Guilletboeuf, None",,,,
d30ea04f,5093243876,8,Forgotten Dream: Wind of Ocean,Anna Harris,1982.0,Crown Publishing,48,"Saint AndréVille, None",,,,
4f56339d,2297641198,8,Silent City,Claire Taylor,2009.0,Vintage Books,60,"Gautier, None",,,,
d1a8c1c2,7132945999,6,Brave Path: Wind of Path,James Anderson,1988.0,Penguin Books,29,"Lefort-sur-Mer, None",,,,
eb7e1fae,3297066316,6,Silver Horizon,Robert Miller,2014.0,Penguin Books,22,"Barondan, None",,,,
63cb4066,5850873877,9,The Great Tower,Sarah Rodriguez,2000.0,HarperCollins,47,"Riou, None",,,,
0caf653d,9941558494,8,Silent City: Path of Dream,Robert Thompson,1984.0,Penguin Books,71,"Saint Antoinette-la-Forêt, None",,,,
dc62e3d3,4089225558,7,The Great Ocean: Journey of Empire,John Johnson,1995.0,Simon & Schuster,31,"DelmasBourg, None",,,,
fca5d4d7,3472129669,10,Hidden Mountain: Shadow of Shadow,Alice Jackson,1958.0,Bloomsbury,29,"Saint Lucie, None",,,,
0caf653d,4812530493,9,Hidden Storm: Wind of Dawn,Emma Martinez,2011.0,Vintage Books,71,"Saint Antoinette-la-Forêt, None",,,,
686af81c,3890417215,6,Dark Legacy,Claire Anderson,1961.0,Oxford Press,36,"Hervé, None",,,,
3d7d57c9,3074177037,8,Forgotten Dream,Emily Thomas,1985.0,Hachette,29,"Caron-la-Forêt, None",,,,
fca5d4d7,1008091786,7,Lost Horizon,Claire Brown,2021.0,Random House,29,"Saint Lucie, None",,,,
9f04c2a7,9972990575,6,Lost Chronicle,Charles Davis,1982.0,Vintage Books,24,"Gilles-les-Bains, None",,,,
9f04c2a7,7092767665,9,Wild Star: Tale of Star,Sophie Anderson,1967.0,Random House,24,"Gilles-les-Bains, None",,,,
71235ffe,7843343369,7,Last Wind: Mountain of Moon,Sophie Thompson,1964.0,Crown Publishing,35,"Baron, None",,,,
73bc7d27,8408792234,8,Brave Mystery: Dusk of Legacy,George Moore,1989.0,Vintage Books,82,"Breton, None",,,,
6c5ca55b,0345339703,8,Eternal Wind (Real ISBN),Daniel White,2004.0,Simon & Schuster,47,"Saint Alain-sur-Mer, None",,,,
4bb64b14,1749315006,7,Endless Journey,Sophie Moore,1996.0,Vintage Books,68,"ArnaudVille, None",,,,
9c2f8483,4115450845,9,Modern World: Wind of Dawn,Sarah Martinez,2005.0,HarperCollins,59,"Teixeira, None",,,,
a0eff95a,4111570091,9,Silver Wind: Shadow of Storm,James Garcia,1990.0,Cambridge Press,37,"HuetBourg, None",,,,
f66df7ff,9858460864,8,Ancient Mountain,Charles Miller,2002.0,Penguin Books,62,"Sainte Émilie, None",,,,
1378f132,2807888880,8,Silver Wind,Charles Brown,1961.0,Scholastic,26,"Michaud-sur-Jacques, None",,,,
a935e953,7383994645,7,Forgotten Kingdom,Robert Brown,2014.0,Cambridge Press,41,"Sainte Alainnec, None",,,,
9909e0e4,2188737964,7,Digital Tower: Ocean of Kingdom,Charles Martinez,1987.0,Vintage Books,71,"Bonnetboeuf, None",,,,
ed78b016,5444761577,9,Lost Path: Tale of Tale,George Lee,2012.0,Random House,20,"Barbe, None",,,,
650f766b,4465999099,5,Brave Fire,Sophie Martin,2009.0,Oxford Press,15,"Macenec, None",,,,
6c4165c3,2631295894,8,Sacred Dream,Charles Harris,1990.0,Bloomsbury,45,"Baudry-sur-Pasquier, None",,,,
4416fb63,9976008720,6,Secret Kingdom: Song of Journey,Charles Miller,1950.0,Oxford Press,71,"Ramos-sur-Mer, None",,,,
3ddb1bf3,5911477383,6,Endless Mountain,Michael Jackson,1973.0,Scholastic,29,"Sainte Christophe-les-Bains, None",,,,
123350ea,9941558494,7,Silent City: Path of Dream,Robert Thompson,1984.0,Penguin Books,43,"Chrétien-les-Bains, None",,,,
41c1fdca,5437085760,9,Digital Fire: Bridge of Tower,Alice Anderson,1999.0,Vintage Books,49,"Barthelemy, None",,,,
c7da3077,7180640408,10,Modern Mystery: Light of Chronicle,Maria Johnson,1962.0,Hachette,65,"Sauvagenec, None",,,,
123350ea,6495412922,4,Forgotten Path: Mountain of Star,Robert Harris,1963.0,Vintage Books,43,"Chrétien-les-Bains, None",,,,
0816d85e,3326927524,7,Last Dusk: Tower of Mystery,Anna Davis,1961.0,Vintage Books,61,"Saint Françoisenec, None",,,,
4b0a4d5d,7888394043,7,Golden Dream,Sarah Martinez,1994.0,Vintage Books,34,"Maillotdan, None",,,,
59fd5976,6945759328,8,Secret Star,William Moore,2004.0,Crown Publishing,25,"Saint Zacharie, None",,,,
26ca538b,7303526948,5,Dark World,David Brown,1973.0,Macmillan,83,"Rossi, None",,,,
860e5c19,1919525936,8,Silver River,Sarah Anderson,1998.0,Vintage Books,55,"Meuniernec, None",,,,
2a49548b,8063920549,5,Forgotten Chronicle,John Lee,1960.0,Bloomsbury,31,"Saint Aurélie, None",,,,
356cefe7,8623380008,8,Last Shadow,Charles Smith,2003.0,Hachette,33,"Texier, None",,,,
a64fe6b7,3052337214,5,Wild Forest,Olivia Rodriguez,1998.0,Scholastic,21,"Sainte Jérôme, None",,,,
3a4378d6,5925734710,7,Eternal Light: River of Song,Claire Brown,1972.0,HarperCollins,54,"Blanchard, None",,,,
92609be1,5804053925,9,Brave World,James Thomas,1989.0,Random House,57,"Bertinnec, None",,,,
c74e411e,2198385957,6,Dark Mystery: Dawn of Mystery,Claire Miller,1976.0,HarperCollins,53,"Lefebvre, None",,,,
56122779,1872208975,9,Dark Chronicle,James Taylor,1954.0,Scholastic,48,"Guillou, None",,,,
f9bcb1dd,2685550379,8,Hidden Dusk,Laura Jones,1984.0,Oxford Press,79,"Perez, None",,,,
686af81c,9334044275,7,Ancient World,Emma Taylor,2001.0,Macmillan,36,"Hervé, None",,,,
a64fe6b7,7484261086,6,Broken Horizon: City of Tale,Laura Williams,2013.0,Random House,21,"Sainte Jérôme, None",,,,
